Country Name,Country Code,Indicator Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2018 [YR2018]
Albania,ALB,Human capital (constant 2018 US$),NW.HCA.TO,4.49E+10,4.36E+10,5.44E+10,6.81E+10,7.37E+10,8.12E+10
Albania,ALB,Human capital per capita (constant 2018 US$),NW.HCA.PC,14072.79,14118.13,18072.3,23362.86,25593.71,28333.68
Albania,ALB,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,3468.858,3424.007,2222.115,2889.15,2987.545,3312.927
Albania,ALB,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,6507.931,6872.019,11689.35,15789.92,17307.01,19245.19
Albania,ALB,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,4893.006,4695.071,2886.736,3613.606,3767.628,4161.137
Albania,ALB,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,9179.78,9423.057,15185.56,19749.26,21826.08,24172.54
Albania,ALB,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1424.149,1271.063,664.6205,724.4566,780.0834,848.2104
Albania,ALB,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,2671.848,2551.038,3496.21,3959.335,4519.067,4927.355
Albania,ALB,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,1.11E+10,1.06E+10,6.69E+09,8.42E+09,8.61E+09,9.50E+09
Albania,ALB,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,2.07E+10,2.12E+10,3.52E+10,4.60E+10,4.99E+10,5.52E+10
Albania,ALB,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,1.56E+10,1.45E+10,8.69E+09,1.05E+10,1.09E+10,1.19E+10
Albania,ALB,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,2.93E+10,2.91E+10,4.57E+10,5.75E+10,6.29E+10,6.93E+10
Albania,ALB,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,4.54E+09,3.93E+09,2.00E+09,2.11E+09,2.25E+09,2.43E+09
Albania,ALB,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,8.52E+09,7.88E+09,1.05E+10,1.15E+10,1.30E+10,1.41E+10
Albania,ALB,Natural capital (constant 2018 US$),NW.NCA.TO,2.14E+10,1.52E+10,1.57E+10,1.73E+10,2.52E+10,2.59E+10
Albania,ALB,Natural capital per capita (constant 2018 US$),NW.NCA.PC,6714.65,4930.374,5221.296,5955.458,8758.227,9034.918
Albania,ALB,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,4493.153,3723.061,3816.297,3765.433,4876.618,4800.549
Albania,ALB,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,2162.778,1487.092,1268.674,1419.135,2157.082,2339.289
Albania,ALB,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,2330.375,2235.968,2547.623,2346.298,2719.536,2461.26
Albania,ALB,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,4.28993,13.73903,12.24451,1.164915,2.179042,2.138477
Albania,ALB,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,555.6089,723.5592,817.6445,931.0702,964.4009,1059.904
Albania,ALB,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,735.1053,65.6926,41.14785,65.27044,204.6429,210.3367
Albania,ALB,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,863.9165,374.0108,495.2959,900.0232,1762.909,1279.916
Albania,ALB,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0,0,0,0,0,0
Albania,ALB,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,918.3137,374.0108,505.6615,1090.839,1880.416,1349.984
Albania,ALB,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,18.98778,0.328629,1.990273,4.237787,1.611789,14.04399
Albania,ALB,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,34.08739,6.295818,11.70334,17.31948,14.05818,10.60054
Albania,ALB,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,54.3972,0,10.36565,190.8162,117.5067,70.06743
Albania,ALB,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,810.8414,367.3863,481.6022,878.466,1747.239,1255.272
Albania,ALB,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,8.17897,30.312,28.2999,101.6802,829.9701,1612.006
Albania,ALB,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,5796.336,4556.363,4715.634,4864.619,6877.811,7684.934
Albania,ALB,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,1.43E+10,1.15E+10,1.15E+10,1.10E+10,1.40E+10,1.38E+10
Albania,ALB,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,6.89E+09,4.59E+09,3.82E+09,4.13E+09,6.21E+09,6.71E+09
Albania,ALB,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,7.43E+09,6.91E+09,7.67E+09,6.83E+09,7.83E+09,7.05E+09
Albania,ALB,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,13675370,42440242,36874189,3393421,6277172,6129679
Albania,ALB,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,1.77E+09,2.24E+09,2.46E+09,2.71E+09,2.78E+09,3.04E+09
Albania,ALB,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,2.34E+09,2.03E+08,1.24E+08,1.90E+08,5.90E+08,6.03E+08
